TransmissionRound,CongestionWindowSegments,SlowStartThresholdSegments,State,Event
0,1.0,8.0,SLOW_START,INITIAL_STATE
1,2.0,8.0,SLOW_START,SLOW_START_INCREASE
2,4.0,8.0,SLOW_START,SLOW_START_INCREASE
3,8.0,8.0,CONGESTION_AVOIDANCE,TRANSITION_TO_CONGESTION_AVOIDANCE
4,9.0,8.0,CONGESTION_AVOIDANCE,CONGESTION_AVOIDANCE_INCREASE
5,1.0,4.5,SLOW_START,PACKET_LOSS_FAST_RETRANSMIT
6,5.0,4.5,CONGESTION_AVOIDANCE,TRANSITION_TO_CONGESTION_AVOIDANCE
7,1.0,2.5,SLOW_START,PACKET_LOSS_FAST_RETRANSMIT
8,2.0,2.5,SLOW_START,SLOW_START_INCREASE
9,3.0,2.5,CONGESTION_AVOIDANCE,TRANSITION_TO_CONGESTION_AVOIDANCE
10,4.0,2.5,CONGESTION_AVOIDANCE,CONGESTION_AVOIDANCE_INCREASE
11,5.0,2.5,CONGESTION_AVOIDANCE,CONGESTION_AVOIDANCE_INCREASE
12,6.0,2.5,CONGESTION_AVOIDANCE,CONGESTION_AVOIDANCE_INCREASE
13,7.0,2.5,CONGESTION_AVOIDANCE,CONGESTION_AVOIDANCE_INCREASE
14,1.0,3.5,SLOW_START,PACKET_LOSS_TIMEOUT
15,6.0,3.5,CONGESTION_AVOIDANCE,TRANSITION_TO_CONGESTION_AVOIDANCE
16,7.0,3.5,CONGESTION_AVOIDANCE,CONGESTION_AVOIDANCE_INCREASE
17,8.0,3.5,CONGESTION_AVOIDANCE,CONGESTION_AVOIDANCE_INCREASE
17,8.0,3.5,CONGESTION_AVOIDANCE,TRANSMISSION_COMPLETE
18,1.0,4.0,SLOW_START,PACKET_LOSS_TIMEOUT
19,4.0,4.0,CONGESTION_AVOIDANCE,TRANSITION_TO_CONGESTION_AVOIDANCE
20,1.0,2.0,SLOW_START,PACKET_LOSS_TIMEOUT
21,3.0,2.0,CONGESTION_AVOIDANCE,TRANSITION_TO_CONGESTION_AVOIDANCE
